-1884, 3408, -32068, -26444, 4440, 195, 3128, -664, -6248, -20056, 6030, -1181, -2676, 2000, -27728, -21965, 7584, -800, -1776, 3552, -22624, -23071, 6789, -203, -104, 3404, -24656, -24267, 6173, -260, -156, 2820, -24492, -25495, 5652, -355, 88, 2876, -25784, -26527, 4939, -583, 368, 3364, -27216, -27634, 4224, -776, 924, 3720, -28988, -28624, 3657, -924, 1204, 3880, -29628, -29731, 2967, -1147
1644, 3864, -30984, -30826, 2245, -1376, 3448, -2080, 5200, -11740, 2381, -4562, -280, 488, -16092, -13488, 4678, -3952, 400, 672, -9976, -14172, 4405, -3543, 308, 484, -12032, -15005, 4220, -3342, -592, -100, -12564, -16070, 4229, -2980, -856, -180, -13720, -16925, 3948, -2783, -1112, 20, -15108, -17915, 3559, -2658, -1436, 128, -16840, -18874, 3301, -2573, -1552, 272, -17648, -19821, 2956, -2381
-1940, 376, -19056, -20930, 2430, -2186, 4664, -1416, -2936, -15901, 6666, 526, 580, 240, -22560, -18466, 8930, 1097, 8, 2492, -23840, -20113, 8717, 1486, 328, 2320, -26064, -21868, 8677, 1695, -40, 2036, -25884, -23843, 8716, 1869, 8, 2180, -26180, -25463, 8298, 1851, 404, 2696, -26980, -26983, 7795, 1831, 560, 3100, -27708, -28349, 7353, 1827, 968, 3668, -28592, -29495, 6785, 1724
1388, 3828, -29468, -30511, 6130, 1592, 3612, -1888, 11856, -6100, 1594, -5587, -1728, 204, -7632, -7092, 3195, -4761, -880, 1672, -5896, -7213, 2757, -4165, -612, 1472, -7840, -7635, 2560, -3834, -1416, 1028, -7768, -8200, 2402, -3408, -1420, 1160, -8740, -8632, 2206, -3066, -1656, 1508, -10364, -9164, 2064, -2733, -1688, 1724, -11228, -9778, 1998, -2447, -1700, 2144, -13104, -10514, 1907, -2121
-1932, 2288, -14948, -11416, 1711, -1748, 16032, -21612, 19032, -32512, -22635, 7253, 16836, -21880, 21680, -32512, -22161, 5802, 15924, -22548, 23384, -32512, -21673, 4592, 20420, -26780, 17024, -32512, -20045, 2918, 8252, -19844, 27924, -32512, -20954, 3075, 11288, -21120, 29916, -32512, -21253, 3000, 12692, -21720, 30164, -32512, -20934, 2391, 14400, -24168, 31748, -32512, -20942, 1474, 14920, -27956, 32767, -32512, -20758, 295
14868, -29692, 32767, -32512, -20436, -838, 5956, 220, 80, 792, 3790, -5171, 2348, 3300, -21448, -1174, 6058, -4847, 2300, 4992, -20080, -2545, 6090, -4716, 1848, 5472, -22780, -4254, 5940, -4675, 928, 5488, -22784, -6044, 6025, -4598, 552, 5884, -24124, -7645, 5883, -4808, -88, 6284, -25656, -9289, 5723, -4950, -304, 6476, -26452, -10970, 5543, -4910, -732, 6636, -28180, -12565, 5341, -4823
-896, 6420, -29872, -14219, 5043, -4741, 600, -1736, 992, -6918, 2591, -3767, -1388, -224, -19868, -8986, 4348, -3428, -916, -748, -10204, -9927, 3992, -3110, -108, -1372, -13224, -11012, 4026, -3123, -1296, -2432, -13936, -12223, 3913, -3061, -2104, -3000, -14520, -13157, 3473, -3096, -2500, -3088, -15808, -14090, 3063, -3051, -3132, -2984, -17176, -14915, 2682, -2923, -3768, -2984, -18688, -15789, 2125, -2780
-4496, -3108, -20428, -16598, 1452, -2599, 30896, -31052, 32767, -32512, -17529, 4340, 29652, -31052, 32767, -32512, -16039, 1494, 27464, -31204, 32767, -32512, -15072, -536, 25200, -31596, 32767, -32512, -14462, -2232, 22892, -32056, 32767, -32512, -13964, -3750, 21180, -32648, 32767, -32512, -13674, -4998, 18192, -32512, 32767, -32512, -13510, -5969, 22152, -32512, 32767, -32512, -11701, -7454, 10772, -32512, 32767, -32512, -13290, -7351
10648, -32512, 32767, -32326, -13162, -6812, 1388, -3172, 296, -1297, -3871, -3507, -696, -1992, -8044, -3351, -1656, -2963, 496, -936, -10844, -4367, -1604, -2653, 656, -1100, -11988, -5376, -1092, -2467, -256, -1360, -12704, -7090, -567, -2247, -608, -1484, -13328, -8421, -167, -2043, -952, -1164, -14564, -9880, 256, -1729, -1384, -864, -16072, -11272, 706, -1431, -1508, -716, -17576, -12681, 1075, -1083
-1780, -892, -18708, -13980, 1328, -826, 20576, -31000, 32767, -32512, -17422, 9891, 20820, -30352, 32767, -32512, -16357, 8687, 21300, -29712, 32767, -32512, -15430, 7658, 23160, -30764, 32767, -32512, -13779, 6042, 10876, -27880, 32767, -32512, -14509, 5910, 13988, -26640, 32767, -32512, -15841, 6150, 17272, -28976, 32767, -32512, -16007, 5160, 18460, -32512, 32767, -32512, -16213, 3857, 19600, -32512, 32767, -32512, -16370, 2294
