17400, -13120, -4656, -12021, -5475, 32767, 17996, -13092, -4300, -12200, -5430, 32767, 21616, -12832, -2728, -12359, -5734, 32767, 24688, -13728, -1336, -11138, -6373, 32767, 28240, -13448, -1376, -10650, -9032, 32767, 32767, -12884, -1292, -14049, -9191, 32767, 32767, -12884, 8, -20347, -6160, 32767, 32767, -14644, 3588, -24396, -3748, 32767, 32767, -18228, 8416, -21659, -5983, 32767, 32767, -20488, 11120, -11912, -10609, 32767, 32767, -18880, 9596, -2102, -13381, 32767, 32767, -16400, 6728, 1701, -12083, 32767, 32767, -11436, 5948, 1270, -7932, 32767, 32767, -5076, 5444, -545, -2930, 32767, 32767, 2284, 5552, -1502, 1100, 32767, 32767, 9184, 4180, -1993, 2796, 29748, 32767, 14672, 2352, -3150, 2188, 22738
21256, -20840, -6508, 27424, -2748, -32512, 20556, -20648, -7160, 26421, -3264, -32512, 18684, -19112, -8428, 19128, -3851, -32512, 16868, -18648, -8548, 9913, -179, -32512, 14352, -19668, -7400, 2488, 6517, -32512, 9068, -18912, -8148, -722, 11836, -32512, 3356, -17788, -9432, -1525, 14027, -31526, -2848, -14596, -9908, -546, 11460, -27039, -6784, -10872, -10580, 678, 6618, -21911, -8552, -8312, -10176, 405, 2294, -16875, -8384, -6068, -8272, -240, 45, -11681, -7004, -2980, -7792, -1623, 91, -6770, -4292, -240, -7088, -3803, 2648, -3944, -3680, 1948, -5840, -6121, 5637, -2597, -4108, 4064, -4124, -7052, 7385, -357, -3608, 7084, -3948, -7449, 7897, 2053, -2960, 8832, -3512, -7748, 6984, 3403
23500, 4956, 784, -3330, 3449, -610, 22996, 4976, -24, -2981, 3589, -602, 20644, 4676, -2344, -1908, 3980, -815, 19200, 4124, -4044, -2250, 3448, -1267, 18132, 3624, -4532, -3113, 2706, -2026, 16956, 3372, -4428, -3704, 1663, -3201, 16220, 2816, -4380, -4190, 745, -4139, 15912, 1544, -3816, -3856, 267, -5428, 14968, 424, -4636, -4853, 171, -6224, 13932, -688, -3840, -6561, 337, -6083, 13408, -2412, -2888, -7599, 688, -5475, 13060, -4316, -1896, -7432, 853, -4848, 13048, -5892, -948, -6198, 476, -3986, 13136, -6276, -452, -4136, -731, -2709, 13816, -5748, -824, -2573, -1978, -1084, 15736, -5136, -556, -2306, -2214, 89, 17140, -5388, -64, -2071, -1403, 201
24376, -15696, -6268, 18020, 1905, -32512, 24276, -15300, -6208, 17064, 1282, -32512, 24276, -14736, -4460, 11802, -505, -32512, 22052, -15484, -2728, 7536, 110, -32512, 18052, -14572, -1916, 3996, 1608, -32512, 15112, -13800, -648, 1193, 4227, -32512, 13212, -13848, 436, 771, 6758, -32512, 10192, -14136, 532, 3176, 7225, -32512, 4600, -14324, -2020, 6237, 6341, -32089, -272, -13228, -2544, 8265, 4111, -28359, -3500, -11852, -4136, 9515, 1651, -23423, -5320, -10232, -4420, 9178, 688, -18905, -7064, -8484, -5020, 7524, 776, -13435, -5984, -6844, -6224, 3935, 2957, -8630, -5832, -5484, -5876, 683, 5537, -5214, -6612, -4324, -6400, -875, 6457, -2790, -4832, -2108, -8832, -1895, 5681, -1304
26336, -20752, -4872, -12737, -3247, 32767, 26996, -21020, -4700, -13082, -3402, 32767, 32724, -21460, -4188, -15037, -5601, 32767, 32767, -21260, -1784, -17585, -8813, 32767, 32767, -21964, 892, -19948, -10986, 32767, 32767, -24704, 4016, -20965, -11001, 32767, 32767, -27588, 6344, -19788, -10362, 32767, 32767, -27904, 7580, -17675, -9340, 32767, 32767, -27160, 7436, -17560, -6800, 32767, 32767, -24136, 8508, -17665, -3540, 32767, 32767, -18656, 8828, -15370, -1662, 32767, 32767, -9788, 7524, -11008, -2521, 32767, 32767, 856, 5748, -8823, -5750, 32767, 32767, 12936, 5184, -11238, -9457, 32767, 32767, 21032, 9516, -13689, -9526, 21690, 32767, 21280, 13164, -11840, -5455, 9038, 32767, 12496, 12124, -7523, 698, -1166
25676, -9796, -1116, 26218, 1281, -32512, 25028, -9948, -1104, 25742, 1089, -32512, 21164, -9504, -3124, 22234, -172, -32512, 16220, -10436, -4660, 16591, 555, -32512, 15496, -10824, -3868, 12466, 1572, -32512, 14032, -10628, -3920, 10056, 3587, -32512, 11268, -10392, -4548, 8233, 5346, -32512, 8724, -9996, -4556, 6293, 6668, -30932, 5792, -8960, -4148, 5283, 8101, -27995, 2924, -7624, -3504, 4634, 8993, -24002, 516, -8064, -3408, 5790, 8514, -19894, 428, -6564, -3564, 7165, 7094, -16046, -448, -4588, -4532, 7944, 5280, -13506, -1348, -2764, -4916, 7330, 2890, -11025, -1040, -284, -6284, 5130, 2413, -9073, -1120, 988, -5232, 2180, 2427, -7647, -684, 1768, -3808, 410, 2407, -6095
22460, 1976, 7244, -7635, 1361, 11369, 21388, 1028, 6716, -6883, 1103, 11807, 17304, -1608, 6056, -2162, -1256, 14123, 15092, -2588, 2456, 2241, -4630, 16001, 16876, -3284, 3636, 6743, -8518, 15448, 19528, -3256, 3800, 9209, -8372, 14541, 20500, -3556, 2336, 9974, -6025, 13308, 21328, -2532, 772, 8388, -3821, 12477, 23316, -1728, -112, 5829, -2149, 11184, 25424, -540, -1088, 2158, 0, 8526, 25524, 540, -608, -2117, 2395, 4576, 23836, 2100, -2204, -6746, 4317, 224, 20252, 1444, -812, -9580, 4217, -2661, 18920, -404, 860, -9450, 4160, -4633, 16620, -1776, 1968, -7321, 3467, -5328, 14536, -3496, 2332, -3638, 2055, -4748, 13668, -4448, 1404, 166, 853, -3640
19928, -11120, -4212, 26741, -1338, -32512, 19568, -10852, -4260, 25441, -1416, -32512, 16720, -10452, -5088, 17825, -324, -32512, 15952, -9328, -4644, 9591, 1793, -32512, 15984, -11400, -2924, 5298, 5195, -32512, 14628, -13444, -1488, 4177, 9827, -32512, 9228, -14332, -1176, 6082, 12314, -32512, 5104, -13268, -3332, 8769, 11127, -32512, 2108, -11384, -5412, 10509, 7797, -30100, -740, -9116, -6652, 10970, 3898, -26691, -3240, -6672, -6644, 10308, 796, -22872, -2680, -4752, -6704, 8232, 106, -18465, -2232, -3500, -6820, 5337, 1572, -15338, -3668, -2176, -7076, 1957, 2803, -12121, -2464, -1800, -6012, -415, 3372, -8611, -3000, 3648, -8740, -3588, 3132, -5245, -728, 4404, -5972, -7345, 5206, -169
20064, -2820, 11840, -858, 16993, -8462, 19316, -3704, 10452, 1145, 16226, -7998, 14124, -6820, 1764, 7886, 9597, -2841, 13108, -9936, -828, 14757, -1019, 1692, 13988, -7836, -4212, 17266, -7911, 5341, 16056, -6484, -5280, 16866, -9826, 6912, 17688, -3988, -6712, 13736, -8575, 6577, 18516, -1988, -7764, 7664, -6170, 5285, 18160, -900, -7644, 216, -4215, 4076, 18208, 344, -6128, -7163, -1994, 3201, 18360, 472, -4092, -12696, 505, 1829, 18864, 428, -2456, -16231, 2495, -200, 18588, -104, -108, -16834, 2510, -2205, 18608, -1084, 2296, -14145, 2434, -4132, 16952, -1752, 2496, -11110, 2257, -4742, 15840, -2868, 3080, -8380, 1013, -4621, 15728, -3296, 4016, -5243, -347, -4199
18500, -12672, -3204, 32767, -13315, -32512, 16760, -11684, -5236, 32767, -12799, -32512, 14932, -7068, -15336, 30087, -6891, -32512, 13824, -10532, -11348, 12208, -1063, -32512, 10912, -9272, -8548, 2731, 1171, -32512, 11108, -8892, -6592, -3572, 3668, -32512, 9244, -10712, -5432, -6770, 5736, -32512, 6180, -11016, -3872, -7156, 7484, -32512, 1828, -10896, -1172, -4296, 8682, -32512, -1792, -10656, -524, 1088, 7637, -28288, -4476, -8832, -2464, 6536, 4992, -22449, -5304, -5724, -4728, 8873, 2552, -17709, -4828, -2908, -6188, 8237, 521, -14192, -1308, -2816, -5896, 5879, 77, -13321, -5356, 4192, -10648, 5988, -70, -17830, -4840, 5860, -9416, -7193, 5346, -3866, -1500, 4304, -6928, -14552, 8835, -452
